country,league,home_team,away_team,date,season,home_team_goal,away_team_goal
Belgium,Belgium Jupiler League,KSV Cercle Brugge,KAA Gent,2008-12-05 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,Sporting Lokeren,Club Brugge KV,2008-12-07 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KSV Roeselare,KVC Westerlo,2008-12-06 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KV Kortrijk,KRC Genk,2008-12-07 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,Beerschot AC,Royal Excel Mouscron,2008-12-06 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,Club Brugge KV,Standard de Liège,2008-12-14 00:00:00,2008/2009,1,4
Belgium,Belgium Jupiler League,KRC Genk,Sporting Charleroi,2008-12-13 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,SV Zulte-Waregem,Royal Excel Mouscron,2008-12-13 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KAA Gent,KV Kortrijk,2008-12-13 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,FCV Dender EH,Sporting Lokeren,2008-12-13 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KV Mechelen,Beerschot AC,2008-12-12 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KSV Roeselare,RSC Anderlecht,2008-12-14 00:00:00,2008/2009,0,3
Belgium,Belgium Jupiler League,Tubize,RAEC Mons,2008-12-13 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KVC Westerlo,KSV Cercle Brugge,2008-12-13 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,RSC Anderlecht,KRC Genk,2008-12-19 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Standard de Liège,KAA Gent,2008-12-21 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,RAEC Mons,SV Zulte-Waregem,2008-12-20 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,Sporting Charleroi,FCV Dender EH,2008-12-20 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KSV Cercle Brugge,KSV Roeselare,2008-12-20 00:00:00,2008/2009,4,3
Belgium,Belgium Jupiler League,Sporting Lokeren,KV Mechelen,2008-12-20 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,Royal Excel Mouscron,Club Brugge KV,2008-12-20 00:00:00,2008/2009,5,1
Belgium,Belgium Jupiler League,KV Kortrijk,KVC Westerlo,2008-12-21 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,Beerschot AC,Tubize,2008-12-20 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Beerschot AC,KRC Genk,2009-01-18 00:00:00,2008/2009,4,1
Belgium,Belgium Jupiler League,Sporting Lokeren,SV Zulte-Waregem,2009-01-17 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,RSC Anderlecht,KSV Cercle Brugge,2009-01-16 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,RAEC Mons,KAA Gent,2009-01-17 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,Standard de Liège,FCV Dender EH,2009-01-17 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,Club Brugge KV,KV Mechelen,2009-01-17 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,KV Kortrijk,KSV Roeselare,2009-01-17 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,Royal Excel Mouscron,Tubize,2009-01-17 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,Sporting Charleroi,KVC Westerlo,2009-01-18 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,SV Zulte-Waregem,Club Brugge KV,2009-01-25 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,KAA Gent,RSC Anderlecht,2009-02-18 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,KVC Westerlo,Standard de Liège,2009-01-25 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,KRC Genk,RAEC Mons,2009-01-24 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KSV Roeselare,Sporting Charleroi,2009-01-24 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,Tubize,Sporting Lokeren,2009-01-24 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KV Mechelen,Royal Excel Mouscron,2009-01-24 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,KSV Cercle Brugge,KV Kortrijk,2009-01-24 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,FCV Dender EH,Beerschot AC,2009-01-24 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,Club Brugge KV,SV Zulte-Waregem,2008-10-29 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,RSC Anderlecht,KAA Gent,2008-08-23 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,Standard de Liège,KVC Westerlo,2008-08-23 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,RAEC Mons,KRC Genk,2008-08-24 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,Sporting Charleroi,KSV Roeselare,2008-08-23 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Sporting Lokeren,Tubize,2008-08-23 00:00:00,2008/2009,4,1
Belgium,Belgium Jupiler League,Royal Excel Mouscron,KV Mechelen,2008-08-23 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,KV Kortrijk,KSV Cercle Brugge,2008-08-23 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,Beerschot AC,FCV Dender EH,2008-08-23 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KV Kortrijk,RSC Anderlecht,2009-01-31 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,Sporting Lokeren,KRC Genk,2009-02-01 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,RAEC Mons,KSV Cercle Brugge,2009-01-31 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,Sporting Charleroi,KAA Gent,2009-02-01 00:00:00,2008/2009,2,5
Belgium,Belgium Jupiler League,Royal Excel Mouscron,FCV Dender EH,2009-01-31 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,SV Zulte-Waregem,KV Mechelen,2009-01-31 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,Standard de Liège,KSV Roeselare,2009-01-31 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,Club Brugge KV,Tubize,2009-01-31 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,Beerschot AC,KVC Westerlo,2009-01-31 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,FCV Dender EH,Club Brugge KV,2009-02-07 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,KV Kortrijk,Standard de Liège,2009-02-06 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,RSC Anderlecht,RAEC Mons,2009-02-07 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,KRC Genk,SV Zulte-Waregem,2009-02-07 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,KSV Cercle Brugge,Sporting Charleroi,2009-02-08 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,KVC Westerlo,Sporting Lokeren,2009-02-08 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Tubize,KV Mechelen,2009-02-07 00:00:00,2008/2009,1,5
Belgium,Belgium Jupiler League,KAA Gent,Royal Excel Mouscron,2009-02-07 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KSV Roeselare,Beerschot AC,2009-02-07 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,Sporting Charleroi,RSC Anderlecht,2009-02-15 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,Club Brugge KV,KRC Genk,2009-02-15 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,Beerschot AC,KSV Cercle Brugge,2009-02-14 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KV Mechelen,KAA Gent,2009-02-14 00:00:00,2008/2009,3,3
Belgium,Belgium Jupiler League,SV Zulte-Waregem,FCV Dender EH,2009-02-14 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Sporting Lokeren,KSV Roeselare,2009-02-14 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,RAEC Mons,KV Kortrijk,2009-02-14 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,Standard de Liège,Tubize,2009-02-14 00:00:00,2008/2009,4,0
Belgium,Belgium Jupiler League,Royal Excel Mouscron,KVC Westerlo,2009-02-14 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,KVC Westerlo,Club Brugge KV,2009-02-22 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,RSC Anderlecht,Standard de Liège,2009-02-22 00:00:00,2008/2009,4,2
Belgium,Belgium Jupiler League,KSV Roeselare,RAEC Mons,2009-02-21 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,Tubize,SV Zulte-Waregem,2009-02-21 00:00:00,2008/2009,0,6
Belgium,Belgium Jupiler League,KV Kortrijk,Sporting Charleroi,2009-02-21 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KSV Cercle Brugge,Sporting Lokeren,2009-02-21 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,FCV Dender EH,KV Mechelen,2009-02-21 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,KRC Genk,Royal Excel Mouscron,2009-02-20 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KAA Gent,Beerschot AC,2009-02-21 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,Royal Excel Mouscron,RSC Anderlecht,2009-02-28 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KV Mechelen,KRC Genk,2009-02-27 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,Sporting Charleroi,RAEC Mons,2009-02-28 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,Standard de Liège,KSV Cercle Brugge,2009-03-01 00:00:00,2008/2009,4,0
Belgium,Belgium Jupiler League,Sporting Lokeren,KAA Gent,2009-03-01 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,Club Brugge KV,KSV Roeselare,2009-02-28 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,Beerschot AC,KV Kortrijk,2009-02-28 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,FCV Dender EH,Tubize,2009-02-28 00:00:00,2008/2009,4,0
Belgium,Belgium Jupiler League,SV Zulte-Waregem,KVC Westerlo,2009-02-28 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KSV Cercle Brugge,Club Brugge KV,2009-03-08 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,RAEC Mons,Standard de Liège,2009-03-06 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,RSC Anderlecht,SV Zulte-Waregem,2009-03-07 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KV Kortrijk,Sporting Lokeren,2009-03-07 00:00:00,2008/2009,2,3
Belgium,Belgium Jupiler League,KRC Genk,FCV Dender EH,2009-03-07 00:00:00,2008/2009,4,3
Belgium,Belgium Jupiler League,KVC Westerlo,KV Mechelen,2009-03-08 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,KSV Roeselare,Royal Excel Mouscron,2009-03-07 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KAA Gent,Tubize,2009-03-07 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Sporting Charleroi,Beerschot AC,2009-03-07 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,KV Mechelen,RSC Anderlecht,2009-03-13 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,Standard de Liège,KRC Genk,2009-03-15 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Beerschot AC,RAEC Mons,2009-03-14 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Sporting Lokeren,Sporting Charleroi,2009-03-14 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,FCV Dender EH,KSV Cercle Brugge,2009-03-14 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Club Brugge KV,KAA Gent,2009-03-15 00:00:00,2008/2009,1,4
Belgium,Belgium Jupiler League,SV Zulte-Waregem,KSV Roeselare,2009-03-14 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,Royal Excel Mouscron,KV Kortrijk,2009-03-14 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Tubize,KVC Westerlo,2009-03-14 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,KV Kortrijk,Club Brugge KV,2009-03-20 00:00:00,2008/2009,2,3
Belgium,Belgium Jupiler League,Sporting Charleroi,Standard de Liège,2009-03-22 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KAA Gent,SV Zulte-Waregem,2009-03-22 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,RAEC Mons,Sporting Lokeren,2009-03-21 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,KVC Westerlo,FCV Dender EH,2009-03-21 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,KSV Roeselare,KV Mechelen,2009-03-21 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KSV Cercle Brugge,Royal Excel Mouscron,2009-03-21 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,KRC Genk,Tubize,2009-03-21 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,RSC Anderlecht,Beerschot AC,2009-03-21 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Sporting Lokeren,RSC Anderlecht,2009-04-05 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,Royal Excel Mouscron,RAEC Mons,2009-04-04 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,Club Brugge KV,Sporting Charleroi,2009-04-04 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,SV Zulte-Waregem,KSV Cercle Brugge,2009-04-04 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,FCV Dender EH,KAA Gent,2009-04-04 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,Tubize,KSV Roeselare,2009-04-04 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,KV Mechelen,KV Kortrijk,2009-04-04 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KRC Genk,KVC Westerlo,2009-04-04 00:00:00,2008/2009,1,4
Belgium,Belgium Jupiler League,Standard de Liège,Beerschot AC,2009-04-05 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,RSC Anderlecht,Club Brugge KV,2009-04-12 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KSV Roeselare,KRC Genk,2009-04-10 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Beerschot AC,SV Zulte-Waregem,2009-04-11 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,Standard de Liège,Sporting Lokeren,2009-04-11 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KV Kortrijk,FCV Dender EH,2009-04-11 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,RAEC Mons,KV Mechelen,2009-04-11 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,Sporting Charleroi,Royal Excel Mouscron,2009-04-11 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KSV Cercle Brugge,Tubize,2009-04-11 00:00:00,2008/2009,4,1
Belgium,Belgium Jupiler League,KAA Gent,KVC Westerlo,2009-04-12 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,RSC Anderlecht,KV Kortrijk,2008-08-30 00:00:00,2008/2009,4,0
Belgium,Belgium Jupiler League,KRC Genk,Sporting Lokeren,2008-08-30 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KSV Cercle Brugge,RAEC Mons,2008-08-30 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KAA Gent,Sporting Charleroi,2008-08-31 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,FCV Dender EH,Royal Excel Mouscron,2008-08-30 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,KV Mechelen,SV Zulte-Waregem,2008-08-30 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,KSV Roeselare,Standard de Liège,2008-08-31 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,Tubize,Club Brugge KV,2008-08-29 00:00:00,2008/2009,1,4
Belgium,Belgium Jupiler League,KVC Westerlo,Beerschot AC,2008-08-30 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KVC Westerlo,RSC Anderlecht,2009-04-19 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,Royal Excel Mouscron,Standard de Liège,2009-04-18 00:00:00,2008/2009,0,3
Belgium,Belgium Jupiler League,Club Brugge KV,RAEC Mons,2009-04-18 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,Tubize,Sporting Charleroi,2009-04-18 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,KV Mechelen,KSV Cercle Brugge,2009-04-18 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,KRC Genk,KAA Gent,2009-04-17 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,FCV Dender EH,KSV Roeselare,2009-04-19 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,SV Zulte-Waregem,KV Kortrijk,2009-04-18 00:00:00,2008/2009,5,1
Belgium,Belgium Jupiler League,Sporting Lokeren,Beerschot AC,2009-04-18 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Beerschot AC,Club Brugge KV,2009-04-24 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KSV Cercle Brugge,KRC Genk,2009-04-26 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,Sporting Charleroi,SV Zulte-Waregem,2009-04-25 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KSV Roeselare,KAA Gent,2009-04-26 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,RSC Anderlecht,FCV Dender EH,2009-04-25 00:00:00,2008/2009,4,0
Belgium,Belgium Jupiler League,Standard de Liège,KV Mechelen,2009-04-25 00:00:00,2008/2009,4,1
Belgium,Belgium Jupiler League,Sporting Lokeren,Royal Excel Mouscron,2009-04-25 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,KV Kortrijk,Tubize,2009-04-25 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,RAEC Mons,KVC Westerlo,2009-04-25 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,Tubize,RSC Anderlecht,2009-05-03 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,SV Zulte-Waregem,Standard de Liège,2009-05-02 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,FCV Dender EH,RAEC Mons,2009-05-02 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,KV Mechelen,Sporting Charleroi,2009-05-02 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KAA Gent,KSV Cercle Brugge,2009-05-02 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,Club Brugge KV,Sporting Lokeren,2009-05-01 00:00:00,2008/2009,2,3
Belgium,Belgium Jupiler League,KVC Westerlo,KSV Roeselare,2009-05-02 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KRC Genk,KV Kortrijk,2009-05-03 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,Royal Excel Mouscron,Beerschot AC,2009-05-02 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,Standard de Liège,Club Brugge KV,2009-05-09 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Sporting Charleroi,KRC Genk,2009-05-09 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,Royal Excel Mouscron,SV Zulte-Waregem,2009-05-09 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,KV Kortrijk,KAA Gent,2009-05-09 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,Sporting Lokeren,FCV Dender EH,2009-05-09 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,Beerschot AC,KV Mechelen,2009-05-08 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,RSC Anderlecht,KSV Roeselare,2009-05-09 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,RAEC Mons,Tubize,2009-05-09 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KSV Cercle Brugge,KVC Westerlo,2009-05-09 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KRC Genk,RSC Anderlecht,2009-05-16 00:00:00,2008/2009,0,2
